DATAFLOW,LAST UPDATE,freq,unit,c_resid,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2013,2270327,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2014,2230539,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2015,2151222,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2016,2530572,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2017,2716755,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2018,2906265,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2019,2931731,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2020,1032465,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2021,1969988,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2012,13548401,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2013,13748333,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2014,13765376,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2015,15034668,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2016,16007995,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2017,17237433,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2018,18325813,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2019,19006818,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2020,10500275,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2021,11097884,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DE,2012,139496103,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DE,2013,141538206,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DE,2014,146602009,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DE,2015,151600857,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DE,2016,156355200,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DE,2017,162215669,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DE,2018,168762763,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DE,2019,174779356,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DE,2020,93207826,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DE,2021,92065343,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DK,2012,5939655,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DK,2013,6052706,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DK,2014,6294285,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DK,2015,6696906,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DK,2016,6991935,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DK,2017,7109422,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DK,2018,7363605,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DK,2019,7647914,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DK,2020,4930962,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,DK,2021,6299329,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EA,2012,991766704,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EA,2013,1006350043,
